Codigo,Categoria,Subcategoria,Articulo / Descripcion,Medida,Unidad de Venta,Cantidad por Caja/Paq,Precio Estimado (ARS),Precio (USD),Pagina del Catalogo
100001,ABRAZADERAS DE ACERO,,00 - 9/13 mm c/u - 10,9/13 mm c/u,,,260,0.18,3
100002,ABRAZADERAS DE ACERO,,0 - 9/20 mm c/u - 10,9/20 mm c/u,,,330,0.23,3
100003,ABRAZADERAS DE ACERO,,1 - 12/26 mm c/u - 10,12/26 mm c/u,,,430,0.30,3
100004,ABRAZADERAS DE ACERO,,2 - 13/29 mm c/u - 10,13/29 mm c/u,,,460,0.32,3
100005,ABRAZADERAS DE ACERO,,3 - 14/36 mm c/u - 10,14/36 mm c/u,,,610,0.43,3
100006,ABRAZADERAS DE ACERO,,4 - 21/42 mm c/u - 10,21/42 mm c/u,,,690,0.49,3
100007,ABRAZADERAS DE ACERO,,5 - 26/49 mm c/u - 10,26/49 mm c/u,,,820,0.58,3
100008,ABRAZADERAS DE ACERO,,6 - 32/55 mm c/u - 10,32/55 mm c/u,,,800,0.56,3
100009,ABRAZADERAS DE ACERO,,7 - 40/63 mm c/u - 10,40/63 mm c/u,,,960,0.68,3
100010,ABRAZADERAS DE ACERO,,8 - 45/68 mm c/u - 10,45/68 mm c/u,,,960,0.68,3
100011,ABRAZADERAS DE ACERO,,"A - 3/8"" - 8/10 mm c/u - 10","A - 3/8""",,,200,0.14,3
100012,ABRAZADERAS DE ACERO,,"B - 1/2"" - 9/12 mm c/u - 10","B - 1/2""",,,240,0.17,3
100013,ABRAZADERAS DE ACERO,,"C - 5/8"" - 11/14 mm c/u - 10","C - 5/8""",,,250,0.18,3
100014,ABRAZADERAS DE ACERO,,Gas - 12/17 mm c/u - 10,12/17 mm c/u,,,300,0.21,3
100015,ABRAZADERAS DE ACERO,,Display Muestrario,,c/u,,840,0.59,3
100016,ABRAZADERAS DE ACERO,,9 - 53/77 mm c/u - 10,53/77 mm c/u,,,1200,0.85,3
100017,ABRAZADERAS DE ACERO,,10 - 59/81 mm c/u - 10,59/81 mm c/u,,,1150,0.81,3
100018,ABRAZADERAS DE ACERO,,11 - 65/88 mm c/u - 10 - Código - Articulo - U/Vta,65/88 mm c/u,,,1350,0.95,3
100019,ABRAZADERAS DE ACERO,,12 - 72/94 mm c/u - 10,72/94 mm c/u,,,1500,1.06,3
100020,ABRAZADERAS DE ACERO,,13 - 78/101 mm c/u - 10,78/101 mm c/u,,,1400,0.99,3
100021,ABRAZADERAS DE ACERO,,14 - 88/111 mm c/u - 10,88/111 mm c/u,,,1750,1.23,3
100022,ABRAZADERAS DE ACERO,,15 - 98/119 mm c/u - 10,98/119 mm c/u,,,1850,1.30,3
100023,ABRAZADERAS DE ACERO,,Expendedor Alambre 236 Unid,,c/u,,760,0.54,3
100025,ABRAZADERAS DE ACERO,,20 - 144/167 mm c/u - 10,144/167 mm c/u,,,2300,1.62,3
100026,ABRAZADERAS DE ACERO,,215 - 50/58 mm c/u - 10,50/58 mm c/u,,,970,0.68,3
100027,ABRAZADERAS DE ACERO,,402 - 6/16 mm c/u - 10,6/16 mm c/u,,,290,0.20,3
100028,ABRAZADERAS DE ACERO,,403 - 8/22 mm c/u - 10,8/22 mm c/u,,,360,0.25,3
100029,ABRAZADERAS DE ACERO,,404 - 13/25 mm c/u - 10,13/25 mm c/u,,,400,0.28,3
100030,ABRAZADERAS DE ACERO,,405 - 16/32 mm c/u - 10,16/32 mm c/u,,,560,0.39,3
100031,ABRAZADERAS DE ACERO,,406 - 16/38 mm c/u - 10,16/38 mm c/u,,,620,0.44,3
100032,ABRAZADERAS DE ACERO,,407 - 19/45 mm c/u - 10,19/45 mm c/u,,,750,0.53,3
100033,ABRAZADERAS DE ACERO,,408 - 25/50 mm c/u - 10,25/50 mm c/u,,,810,0.57,3
100034,ABRAZADERAS DE ACERO,,409 - 36/60 mm c/u - 10,36/60 mm c/u,,,930,0.65,3
100035,ABRAZADERAS DE ACERO,,410 - 45/70 mm c/u - 10,45/70 mm c/u,,,1150,0.81,3
100036,ABRAZADERAS DE ACERO,,413 - 77/100 mm c/u - 10,77/100 mm c/u,,,1450,1.02,3
100101,ABRAZADERAS DE ACERO,,S-101 - 25/30 mm c/u - 10,25/30 mm c/u,,,500,0.35,3
100102,ABRAZADERAS DE ACERO,,S-102 - 28/34 mm c/u - 10,28/34 mm c/u,,,590,0.42,3
100103,ABRAZADERAS DE ACERO,,S-103 - 33/39 mm c/u - 10,33/39 mm c/u,,,640,0.45,3
100104,ABRAZADERAS DE ACERO,,S-104 - 37/46 mm c/u - 10,37/46 mm c/u,,,770,0.54,3
100105,ABRAZADERAS DE ACERO,,S-105 - 44/43 mm c/u - 10,44/43 mm c/u,,,690,0.49,3
100106,ABRAZADERAS DE ACERO,,S-106 - 50/59 mm c/u - 10,50/59 mm c/u,,,940,0.66,3
100107,ABRAZADERAS DE ACERO,,S-107 - 55/64 mm c/u - 10,55/64 mm c/u,,,910,0.64,3
100108,ABRAZADERAS DE ACERO,,S-108 - 61/71 mm c/u - 10,61/71 mm c/u,,,1050,0.74,3
100109,ABRAZADERAS DE ACERO,,S-109 - 68/78 mm c/u - 10,68/78 mm c/u,,,1150,0.81,3
100110,ABRAZADERAS DE ACERO,,S-110 - 76/87 mm c/u - 10,76/87 mm c/u,,,1250,0.88,3
100111,ABRAZADERAS DE ACERO,,S-111 - 85/95 mm c/u - 10,85/95 mm c/u,,,1350,0.95,3
100112,ABRAZADERAS DE ACERO,,S-112 - 93/103 mm c/u - 10,93/103 mm c/u,,,1450,1.02,3
100113,ABRAZADERAS DE ACERO,,S-113 - 100/111 mm c/u - 10,100/111 mm c/u,,,1600,1.13,3
100114,ABRAZADERAS DE ACERO,,S-114 - 108/119 mm c/u - 10,108/119 mm c/u,,,1800,1.27,3
100115,ABRAZADERAS DE ACERO,,S-115 - 116/128 mm c/u - 10,116/128 mm c/u,,,1850,1.30,3
100116,ABRAZADERAS DE ACERO,,S-116 - 125/136 mm c/u - 10,125/136 mm c/u,,,1950,1.37,3
100117,ABRAZADERAS DE ACERO,,S-117 - 135/145 mm c/u - 10,135/145 mm c/u,,,2050,1.44,3
100118,ABRAZADERAS DE ACERO,,S-118 - 143/153 mm c/u - 10,143/153 mm c/u,,,2150,1.51,3
100119,ABRAZADERAS DE ACERO,,S-119 - 151/161 mm c/u - 10,151/161 mm c/u,,,2550,1.80,3
100120,ABRAZADERAS DE ACERO,,S-120 - 159/169 mm c/u - 10,159/169 mm c/u,,,2550,1.80,3
100121,ABRAZADERAS DE ACERO,,S-121 - 167/177 mm c/u - 10,167/177 mm c/u,,,2550,1.80,3
100122,ABRAZADERAS DE ACERO,,S-122 - 175/185 mm c/u - 10,175/185 mm c/u,,,2350,1.65,3
101100,ASPIRADORAS,,Kärcher Aspiradora NT38/1 Me Classic,Kärcher Aspiradora NT38/1 Me Classic,c/u,,192500,135.56,74
101101,ASPIRADORAS,,Kärcher Aspiradora WD1 Kap AR,,c/u,,162000,114.08,74
101102,ASPIRADORAS,,Kärcher Aspiradora WD3 + AR,,c/u,,173500,122.18,74
101103,HIDROLAVADORAS,,Kärcher Hidrolavadora K2 Basic + AR,,c/u,,252500,177.82,73
101104,HIDROLAVADORAS,,Kärcher Hidrolavadora K2 Dakar + AR,,c/u,,229000,161.27,73
101105,HIDROLAVADORAS,,Kärcher Hidrolavadora K3 Premiun + AR,,c/u,,224000,157.75,73
101106,HIDROLAVADORAS,,Kärcher Hidrolavadora K4 Premiun + AR,,c/u,,232000,163.38,73
101107,HIDROLAVADORAS,,Kärcher Hidrolavadora K5 Premiun + AR,,c/u,,242500,170.77,73
101108,ASPIRADORAS,LIMPIADORAS A VAPOR,Kärcher Limpiador a Vapor SC1,,c/u,,195000,137.32,74
101110,HIDROLAVADORAS,,Kärcher Hidrolavadora K2 Home,,c/u,,202000,142.25,73
101111,HIDROLAVADORAS,,Kärcher Hidrolavadora HD 585 + BR Profesional,,c/u,,189000,133.10,73
101112,ASPIRADORAS,PULVERIZADORA/ASPIRADORA,Kärcher Aspiradora/Pulverizadora Puzzi 10/1,,c/u,,170000,119.72,74
102000,ANTEOJOS,Patilla Regulable en 2 Sentidos,Transparente - UCU011C,,c/u,12,4650,3.27,10
102002,ANTEOJOS,Patilla Regulable en 2 Sentidos,Ámbar - UCU013C - Antiempañante,,c/u,12,4550,3.20,10
102003,ANTEOJOS,Patilla Regulable en 2 Sentidos,Verde - UCU014C,,c/u,12,5650,3.98,10
102009,ANTEOJOS,Patilla Regulable en 2 Sentidos,Transparente - UCU021A,,c/u,12,5550,3.91,10
102010,ANTEOJOS,Patilla Regulable en 2 Sentidos,Verde - UCU024B,,c/u,12,4700,3.31,10
102011,ANTEOJOS,Patilla Regulable en 2 Sentidos,Transparente - UCU042B,,c/u,12,5250,3.70,10
102013,ANTEOJOS,Patilla Regulable en 2 Sentidos,Transparente - UCU331A,,c/u,12,4850,3.42,10
102015,ANTEOJOS,Patilla Regulable en 2 Sentidos,Transparente - UCU081B,,c/u,12,5600,3.94,10
102016,ANTEOJOS,Patilla Regulable en 2 Sentidos,Negro - UCU082B,,c/u,12,4950,3.49,10
102017,ANTEOJOS,Patilla Regulable en 2 Sentidos,Amarillo - UCU083B,,c/u,12,4650,3.27,10
102020,ANTEOJOS,Patilla Regulable en 2 Sentidos,Amarillo - UCU023B,,c/u,12,4600,3.24,10
102021,ANTEOJOS,Patilla Regulable en 2 Sentidos,Transparente - UCU111B,,c/u,12,5100,3.59,10
102022,ANTEOJOS,Patilla Regulable en 2 Sentidos,Negro - UCU112B,,c/u,12,4650,3.27,10
102026,ANTEOJOS,Patilla Regulable en 2 Sentidos,Transparente - UCU351A,,c/u,12,5150,3.63,10
102027,PROTECCION DE LLUVIA,,Amarillo - L,,c/u,12,20100,14.15,11
102028,PROTECCION DE LLUVIA,,Amarillo - M,,c/u,12,17500,12.32,11
102029,PROTECCION DE LLUVIA,,Amarillo - NUB0202,,c/u,12,16500,11.62,11
102030,PROTECCION DE LLUVIA,,Amarillo - XL - Poncho Descartable - Transparente,,c/u,12,20700,14.58,11
102031,PROTECCION DE LLUVIA,,Amarillo - XXL,,c/u,12,18100,12.75,11
102032,PROTECCION DE LLUVIA,,Amarillo - XXXL,,c/u,12,15800,11.13,11
102033,PROTECCION DE LLUVIA,,Amarillo - L,,c/u,,15600,10.99,11
102034,PROTECCION DE LLUVIA,,Amarillo - M,,c/u,,15900,11.20,11
102036,PROTECCION DE LLUVIA,,Amarillo - XL,,c/u,,18700,13.17,11
102037,PROTECCION DE LLUVIA,,Amarillo - XXL,,c/u,,19600,13.80,11
102038,PROTECCION DE LLUVIA,,Amarillo - XXXL,,c/u,,17600,12.39,11
102042,PROTECCION DE LLUVIA,Cruzada Reflectiva,Bandolera XL,,c/u,12,15600,10.99,11
102043,PROTECCION DE LLUVIA,Cruzada Reflectiva,Bandolera XXL,,c/u,12,17400,12.25,11
102045,ANTEOJOS,Patilla Regulable en 2 Sentidos,Espejado - UCU092F,,c/u,12,5750,4.05,10
102049,GUANTES SINTETICOS,Látex Descartable,Puño Elastizado - Par - 12,,,,3550,2.50,9
102050,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,Nitrilo Puño Lona - Par - 12,,,,4000,2.82,9
102051,GUANTES SINTETICOS,PVC Puño Elastizado,Puño Elastizado - Par - 12,,,,3900,2.75,9
102052,GUANTES SINTETICOS,PVC Puño Elastizado,Puño Elastizado - Par - 12 - Látex Domestico,,,,3000,2.11,9
102053,GUANTES SINTETICOS,,30 Cms - DPS31345 - Par - 12,30 Cms - DPS31345,,,3750,2.64,9
102054,GUANTES SINTETICOS,,35 Cms - DPS31445 - Par - 12,35 Cms - DPS31445,,,3700,2.61,9
102055,GUANTES SINTETICOS,,40 Cms - DPS31545 - Par - 12,40 Cms - DPS31545,,,3550,2.50,9
102056,GUANTES SINTETICOS,,S - DPS71392 - Par - 12,,,,3250,2.29,9
102057,GUANTES SINTETICOS,,M - DPS71393 - Par - 12,,,,3650,2.57,9
102058,GUANTES SINTETICOS,,L - DPS71394 - Par - 12,,,,3100,2.18,9
102059,GUANTES SINTETICOS,,XL - DPS71395 - Par - 12,,,,3450,2.43,9
102060,GUANTES SINTETICOS,PVC Puño Elastizado,S - DPS61322 - Par - 12,,,,3450,2.43,9
102061,GUANTES SINTETICOS,PVC Puño Elastizado,M - DPS61323 - Par - 12,,,,4000,2.82,9
102062,GUANTES SINTETICOS,PVC Puño Elastizado,L - DPS61324 - Par - 12,,,,3900,2.75,9
102063,GUANTES SINTETICOS,PVC Puño Elastizado,XL - DPS61325 - Par - 12,,,,3250,2.29,9
102065,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,7 - DPS85192 - Par - 12,,,,3500,2.46,9
102066,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,8 - DPS85193 - Par - 12,,,,3150,2.22,9
102067,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,9 - DPS85194 - Par - 12,,,,3950,2.78,9
102068,GUANTES SINTETICOS,Tejido - Recubrimiento Látex,10 - DPS85195 - Par - 12,,,,3900,2.75,9
102069,PROTECCION DE LLUVIA,MASCARILLAS,Descartable - 101R,,Caja,10,16900,11.90,11
102070,PROTECCION DE LLUVIA,MASCARILLAS,Premiun - 211R,,Caja,10,18800,13.24,11
102071,PROTECCION DE LLUVIA,MASCARILLAS,Premiun - 232R,,Caja,10,18600,13.10,11
102072,PROTECCION DE LLUVIA,MASCARILLAS,Premiun - 312R,,Caja,10,16100,11.34,11
102073,GUANTES SINTETICOS,Látex Descartable,S - DPS71011,,Caja,10,3800,2.68,9
102074,GUANTES SINTETICOS,Látex Descartable,M - DPS71012,,Caja,10,3550,2.50,9
